	Assay	Cell Type	Molecule
442	CHIP	B10.H-2aH-4bp/Wts CH12.LX	GABPA
443	CHIP	B10.H-2aH-4bp/Wts CH12.LX	MAZ
444	CHIP	B10.H-2aH-4bp/Wts CH12.LX	KAT2A
445	CHIP	B10.H-2aH-4bp/Wts CH12.LX	CHD1
446	CHIP	B10.H-2aH-4bp/Wts CH12.LX	ZKSCAN1
447	CHIP	B10.H-2aH-4bp/Wts CH12.LX	UBTF
448	CHIP	B10.H-2aH-4bp/Wts CH12.LX	SIN3A
449	CHIP	B10.H-2aH-4bp/Wts CH12.LX	RCOR1
450	CHIP	B10.H-2aH-4bp/Wts CH12.LX	ETS1
451	CHIP	B10.H-2aH-4bp/Wts CH12.LX	MAFK
452	CHIP	B10.H-2aH-4bp/Wts CH12.LX	BHLHE40
453	CHIP	B10.H-2aH-4bp/Wts CH12.LX	NELFE
454	CHIP	B10.H-2aH-4bp/Wts CH12.LX	MXI1
455	CHIP	B10.H-2aH-4bp/Wts CH12.LX	CHD2
456	CHIP	B10.H-2aH-4bp/Wts CH12.LX	SMC3
457	CHIP	B10.H-2aH-4bp/Wts CH12.LX	POLR2AphosphoS2
458	CHIP	B10.H-2aH-4bp/Wts CH12.LX	EP300
459	CHIP	B10.H-2aH-4bp/Wts CH12.LX	USF2
460	CHIP	B10.H-2aH-4bp/Wts CH12.LX	RAD21
461	CHIP	B10.H-2aH-4bp/Wts CH12.LX	MAX
462	CHIP	B10.H-2aH-4bp/Wts CH12.LX	CTCF
463	CHIP	B10.H-2aH-4bp/Wts CH12.LX	MYC
464	CHIP	B10.H-2aH-4bp/Wts CH12.LX	JUN
465	CHIP	B10.H-2aH-4bp/Wts CH12.LX	TBP
466	CHIP	B10.H-2aH-4bp/Wts CH12.LX	POLR2A
467	CHIP	B10.H-2aH-4bp/Wts CH12.LX	JUND
468	CHIP	B10.H-2aH-4bp/Wts CH12.LX	E2F4
469	CHIP	129 ES-E14	ZNF384
470	CHIP	129 ES-E14	ZC3H11A
471	CHIP	129 ES-E14	HCFC1
472	CHIP	DBA/2 MEL cell line	ZNF384
473	CHIP	DBA/2 MEL cell line	ZMIZ1
474	CHIP	DBA/2 MEL cell line	ZC3H11A
475	CHIP	DBA/2 MEL cell line	HCFC1
476	CHIP	DBA/2 MEL cell line	BHLHE40
477	CHIP	DBA/2 MEL cell line	RCOR1
478	CHIP	DBA/2 MEL cell line	UBTF
479	CHIP	DBA/2 MEL cell line	GABPA
480	CHIP	DBA/2 MEL cell line	MAZ
481	CHIP	DBA/2 MEL cell line	KAT2A
482	CHIP	DBA/2 MEL cell line	CHD1
483	CHIP	DBA/2 MEL cell line	ZKSCAN1
484	CHIP	DBA/2 MEL cell line treated with 2% dimethyl sulfoxide for 5 days	MAFK
485	CHIP	DBA/2 MEL cell line treated with 2% dimethyl sulfoxide for 5 days	GATA1
486	CHIP	DBA/2 MEL cell line	ETS1
487	CHIP	DBA/2 MEL cell line	SIN3A
488	CHIP	DBA/2 MEL cell line treated with 2% dimethyl sulfoxide for 5 days	CTCF
489	CHIP	DBA/2 MEL cell line	USF2
490	CHIP	DBA/2 MEL cell line treated with 2% dimethyl sulfoxide for 5 days	POLR2A
491	CHIP	DBA/2 MEL cell line	MAFK
492	CHIP	DBA/2 MEL cell line	SMC3
493	CHIP	DBA/2 MEL cell line	POLR2AphosphoS2
494	CHIP	DBA/2 MEL cell line	MXI1
495	CHIP	DBA/2 MEL cell line	CHD2
496	CHIP	DBA/2 MEL cell line	EP300
497	CHIP	DBA/2 MEL cell line	CTCF
498	CHIP	DBA/2 MEL cell line	MYB
499	CHIP	DBA/2 MEL cell line	RAD21
500	CHIP	DBA/2 MEL cell line treated with 2% dimethyl sulfoxide for 5 days	RAD21
501	CHIP	DBA/2 MEL cell line	NELFE
502	CHIP	DBA/2 MEL cell line	EP300
503	CHIP	DBA/2 MEL cell line	USF2
504	CHIP	DBA/2 MEL cell line	MAX
505	CHIP	DBA/2 MEL cell line	E2F4
506	CHIP	DBA/2 MEL cell line	JUND
507	CHIP	DBA/2 MEL cell line	MYC
508	CHIP	DBA/2 MEL cell line	TBP
509	CHIP	DBA/2 MEL cell line	POLR2A
510	CHIP	DBA/2 MEL cell line	GATA1
511	CHIP	C57BL/6 intestine postnatal (0 days)	CTCF
512	CHIP	C57BL/6 heart embryo (14.5 days)	H3K9me3
513	CHIP	C57BL/6 embryonic facial prominence embryo (13.5 days)	H3K27me3
514	CHIP	C57BL/6 hindbrain embryo (12.5 days)	H3K4me1
515	CHIP	C57BL/6 forebrain embryo (16.5 days)	H3K9ac
516	CHIP	C57BL/6 intestine embryo (14.5 days)	H3K27me3
517	CHIP	C57BL/6 limb embryo (14.5 days)	H3K27ac
518	CHIP	C57BL/6 limb embryo (13.5 days)	H3K9me3
519	CHIP	C57BL/6 forebrain embryo (15.5 days)	H3K4me3
520	CHIP	C57BL/6 stomach embryo (14.5 days)	H3K4me3
521	CHIP	C57BL/6 lung postnatal (0 days)	H3K27me3
522	CHIP	C57BL/6 embryonic facial prominence embryo (11.5 days)	H3K36me3
523	CHIP	C57BL/6 midbrain postnatal (0 days)	H3K9ac
524	CHIP	C57BL/6 limb embryo (15.5 days)	H3K9me3
525	CHIP	129 E14TG2a.4	H3K4me1
526	CHIP	DBA/2 MEL cell line	ELF1
527	CHIP	C57BL/6 kidney embryo (15.5 days)	H3K4me2
528	CHIP	C57BL/6 liver embryo (13.5 days)	H3K36me3
529	CHIP	C57BL/6 midbrain embryo (14.5 days)	H3K4me1
530	CHIP	C57BL/6 forebrain embryo (13.5 days)	H3K9me3
531	CHIP	C57BL/6 liver postnatal (0 days)	CTCF
532	CHIP	C57BL/6 neural tube embryo (15.5 days)	H3K4me3
533	CHIP	C57BL/6 forebrain embryo (13.5 days)	H3K4me2
534	CHIP	C57BL/6 liver embryo (13.5 days)	H3K4me1
535	CHIP	C57BL/6 hindbrain embryo (16.5 days)	H3K27me3
536	CHIP	C57BL/6 stomach postnatal (0 days)	H3K9ac
537	CHIP	C57BL/6 intestine embryo (15.5 days)	H3K4me1
538	CHIP	C57BL/6 heart embryo (14.5 days)	H3K4me3
539	CHIP	C57BL/6 hindbrain embryo (14.5 days)	H3K27ac
540	CHIP	C57BL/6 embryonic facial prominence embryo (13.5 days)	H3K4me3
541	CHIP	C57BL/6 kidney embryo (14.5 days)	H3K27ac
542	CHIP	C57BL/6 liver embryo (11.5 days)	H3K27ac
543	CHIP	C57BL/6 embryonic facial prominence embryo (14.5 days)	H3K4me3
544	CHIP	129 E14TG2a.4	H3K27me3
545	CHIP	C57BL/6 embryonic facial prominence embryo (15.5 days)	H3K27me3
546	CHIP	C57BL/6 stomach embryo (14.5 days)	H3K27me3
547	CHIP	C57BL/6 neural tube embryo (12.5 days)	H3K9ac
548	CHIP	C57BL/6 midbrain postnatal (0 days)	H3K9me3
549	CHIP	C57BL/6 forebrain embryo (11.5 days)	H3K36me3
550	CHIP	C57BL/6 midbrain embryo (13.5 days)	H3K36me3
551	CHIP	C57BL/6 hindbrain embryo (15.5 days)	H3K27ac
552	CHIP	C57BL/6 hindbrain embryo (14.5 days)	H3K36me3
553	CHIP	C57BL/6 midbrain embryo (14.5 days)	H3K9ac
554	CHIP	C57BL/6 forebrain embryo (11.5 days)	H3K4me2
555	CHIP	C57BL/6 midbrain embryo (16.5 days)	H3K9ac
556	CHIP	C57BL/6 forebrain postnatal (0 days)	H3K36me3
557	CHIP	C57BL/6 heart embryo (13.5 days)	H3K9ac
558	CHIP	C57BL/6 forebrain postnatal (0 days)	H3K27me3
559	CHIP	C57BL/6 heart embryo (15.5 days)	H3K9me3
560	CHIP	C57BL/6 liver embryo (14.5 days)	H3K27ac
561	CHIP	C57BL/6 embryonic facial prominence embryo (11.5 days)	H3K9ac
562	CHIP	C57BL/6 stomach embryo (14.5 days)	H3K4me2
563	CHIP	C57BL/6 heart embryo (14.5 days)	H3K4me1
564	CHIP	C57BL/6 limb embryo (11.5 days)	H3K27me3
565	CHIP	C57BL/6 forebrain embryo (13.5 days)	H3K36me3
566	CHIP	C57BL/6 neural tube embryo (13.5 days)	H3K9ac
567	CHIP	C57BL/6 midbrain embryo (11.5 days)	H3K27ac
568	CHIP	C57BL/6 embryonic facial prominence embryo (15.5 days)	H3K4me1
569	CHIP	C57BL/6 neural tube embryo (14.5 days)	H3K4me3
570	CHIP	C57BL/6 forebrain postnatal (0 days)	H3K9me3
571	CHIP	C57BL/6 neural tube embryo (12.5 days)	H3K36me3
572	CHIP	C57BL/6 forebrain postnatal (0 days)	H3K27ac
573	CHIP	C57BL/6 liver embryo (16.5 days)	H3K9me3
574	CHIP	C57BL/6 limb embryo (15.5 days)	H3K4me2
575	CHIP	C57BL/6 heart embryo (13.5 days)	H3K9me3
576	CHIP	C57BL/6 neural tube embryo (14.5 days)	H3K27me3
577	CHIP	C57BL/6 intestine embryo (16.5 days)	H3K4me2
578	CHIP	C57BL/6 midbrain embryo (12.5 days)	H3K27me3
579	CHIP	C57BL/6 stomach postnatal (0 days)	CTCF
580	CHIP	C57BL/6 embryonic facial prominence embryo (12.5 days)	H3K9ac
581	CHIP	C57BL/6 embryonic facial prominence embryo (12.5 days)	H3K4me3
582	CHIP	C57BL/6 neural tube embryo (13.5 days)	H3K36me3
583	CHIP	C57BL/6 lung embryo (14.5 days)	H3K36me3
584	CHIP	C57BL/6 liver embryo (12.5 days)	H3K4me2
585	CHIP	C57BL/6 hindbrain embryo (16.5 days)	H3K4me3
586	CHIP	C57BL/6 limb embryo (11.5 days)	H3K4me2
587	CHIP	C57BL/6 heart embryo (16.5 days)	H3K4me3
588	CHIP	C57BL/6 kidney embryo (16.5 days)	H3K36me3
589	CHIP	C57BL/6 heart embryo (16.5 days)	H3K9me3
590	CHIP	C57BL/6 heart embryo (12.5 days)	H3K27me3
591	CHIP	C57BL/6 heart embryo (12.5 days)	H3K27ac
592	CHIP	C57BL/6 liver embryo (14.5 days)	H3K9me3
593	CHIP	C57BL/6 forebrain embryo (14.5 days)	H3K9ac
594	CHIP	C57BL/6 forebrain embryo (16.5 days)	H3K4me3
595	CHIP	C57BL/6 hindbrain embryo (11.5 days)	H3K27ac
596	CHIP	C57BL/6 midbrain embryo (13.5 days)	H3K27me3
597	CHIP	C57BL/6 liver embryo (15.5 days)	H3K4me1
598	CHIP	C57BL/6 liver embryo (16.5 days)	H3K27me3
599	CHIP	DBA/2 MEL cell line	NRF1
600	CHIP	C57BL/6 liver embryo (12.5 days)	H3K27ac
601	CHIP	C57BL/6 embryonic facial prominence embryo (15.5 days)	H3K9me3
602	CHIP	C57BL/6 lung embryo (16.5 days)	H3K27ac
603	CHIP	C57BL/6 kidney postnatal (0 days)	H3K27ac
604	CHIP	C57BL/6 forebrain embryo (16.5 days)	H3K4me1
605	CHIP	C57BL/6 kidney postnatal (0 days)	CTCF
606	CHIP	C57BL/6 embryonic facial prominence embryo (13.5 days)	H3K9me3
607	CHIP	C57BL/6 lung embryo (14.5 days)	H3K27me3
608	CHIP	C57BL/6 liver embryo (12.5 days)	H3K9me3
609	CHIP	C57BL/6 hindbrain postnatal (0 days)	CTCF
610	CHIP	C57BL/6 embryonic facial prominence embryo (10.5 days)	H3K27ac
611	CHIP	C57BL/6 lung embryo (16.5 days)	H3K4me2
612	CHIP	C57BL/6 midbrain embryo (12.5 days)	H3K4me1
613	CHIP	C57BL/6 intestine embryo (14.5 days)	H3K4me1
614	CHIP	C57BL/6 hindbrain embryo (12.5 days)	H3K4me3
615	CHIP	C57BL/6 intestine postnatal (0 days)	H3K4me1
616	CHIP	C57BL/6 hindbrain embryo (16.5 days)	H3K4me2
617	CHIP	C57BL/6 forebrain embryo (12.5 days)	H3K9ac
618	CHIP	C57BL/6 midbrain embryo (13.5 days)	H3K4me3
619	CHIP	C57BL/6 forebrain embryo (14.5 days)	H3K4me3
620	CHIP	C57BL/6 liver embryo (13.5 days)	H3K27ac
621	CHIP	C57BL/6 hindbrain embryo (11.5 days)	H3K36me3
622	CHIP	C57BL/6 limb embryo (14.5 days)	H3K4me3
623	CHIP	C57BL/6 hindbrain embryo (14.5 days)	H3K4me3
624	CHIP	C57BL/6 hindbrain embryo (14.5 days)	H3K9ac
625	CHIP	C57BL/6 hindbrain embryo (13.5 days)	H3K9ac
626	CHIP	C57BL/6 liver embryo (13.5 days)	H3K9me3
627	CHIP	C57BL/6 embryonic facial prominence embryo (15.5 days)	H3K4me2
628	CHIP	C57BL/6xSv129 liver adult	GATA4
629	CHIP	C57BL/6 embryonic facial prominence embryo (12.5 days)	H3K4me2
630	CHIP	C57BL/6 kidney embryo (14.5 days)	H3K4me1
631	CHIP	C57BL/6 intestine postnatal (0 days)	H3K4me3
632	CHIP	C57BL/6 midbrain embryo (14.5 days)	H3K4me3
633	CHIP	C57BL/6 midbrain embryo (16.5 days)	H3K36me3
634	CHIP	C57BL/6 neural tube embryo (15.5 days)	H3K36me3
635	CHIP	129 E14TG2a.4	H3K4me3
636	CHIP	C57BL/6 heart embryo (11.5 days)	H3K27ac
637	CHIP	C57BL/6 neural tube embryo (14.5 days)	H3K9me3
638	CHIP	C57BL/6 forebrain embryo (14.5 days)	H3K36me3
639	CHIP	C57BL/6 limb embryo (12.5 days)	H3K27me3
640	CHIP	C57BL/6 limb embryo (15.5 days)	H3K27me3
641	CHIP	C57BL/6 limb embryo (12.5 days)	H3K36me3
642	CHIP	C57BL/6 liver embryo (14.5 days)	H3K4me1
643	CHIP	C57BL/6 hindbrain embryo (14.5 days)	H3K4me2
644	CHIP	C57BL/6 heart postnatal (0 days)	H3K36me3
645	CHIP	C57BL/6 limb embryo (10.5 days)	H3K4me1
646	CHIP	C57BL/6 lung postnatal (0 days)	H3K9me3
647	CHIP	C57BL/6 heart embryo (13.5 days)	H3K36me3
648	CHIP	C57BL/6 neural tube embryo (11.5 days)	H3K27me3
649	CHIP	C57BL/6 neural tube embryo (15.5 days)	H3K27ac
650	CHIP	C57BL/6 limb embryo (10.5 days)	H3K36me3
651	CHIP	C57BL/6 forebrain embryo (12.5 days)	H3K4me1
652	CHIP	C57BL/6 limb embryo (15.5 days)	H3K4me3
653	CHIP	C57BL/6 liver embryo (11.5 days)	H3K27me3
654	CHIP	C57BL/6 lung embryo (14.5 days)	H3K9ac
655	CHIP	C57BL/6 lung postnatal (0 days)	H3K36me3
656	CHIP	C57BL/6 heart embryo (16.5 days)	H3K4me1
657	CHIP	C57BL/6 liver embryo (16.5 days)	H3K4me3
658	CHIP	C57BL/6 midbrain embryo (12.5 days)	H3K27ac
659	CHIP	C57BL/6 midbrain embryo (13.5 days)	H3K4me1
660	CHIP	129 E14TG2a.4	H3K36me3
661	CHIP	C57BL/6 midbrain embryo (14.5 days)	H3K27ac
662	CHIP	C57BL/6 embryonic facial prominence embryo (12.5 days)	H3K27me3
663	CHIP	C57BL/6 hindbrain embryo (16.5 days)	H3K4me1
664	CHIP	C57BL/6 embryonic facial prominence embryo (13.5 days)	H3K4me1
665	CHIP	C57BL/6 liver embryo (15.5 days)	H3K4me2
666	CHIP	C57BL/6 forebrain postnatal (0 days)	H3K4me3
667	CHIP	C57BL/6 hindbrain embryo (15.5 days)	H3K27me3
668	CHIP	C57BL/6 intestine embryo (14.5 days)	H3K9ac
669	CHIP	C57BL/6 midbrain embryo (11.5 days)	H3K4me2
670	CHIP	C57BL/6 lung postnatal (0 days)	H3K4me3
671	CHIP	C57BL/6 neural tube embryo (12.5 days)	H3K4me1
672	CHIP	C57BL/6 limb embryo (15.5 days)	H3K36me3
673	CHIP	C57BL/6 forebrain embryo (14.5 days)	H3K4me2
674	CHIP	C57BL/6 neural tube embryo (14.5 days)	H3K27ac
675	CHIP	C57BL/6 heart embryo (10.5 days)	H3K27me3
676	CHIP	C57BL/6 forebrain embryo (14.5 days)	H3K9me3
677	CHIP	C57BL/6 midbrain embryo (10.5 days)	H3K4me1
678	CHIP	C57BL/6 intestine embryo (16.5 days)	H3K36me3
679	CHIP	C57BL/6 limb embryo (14.5 days)	H3K9ac
680	CHIP	C57BL/6 forebrain embryo (11.5 days)	H3K27ac
681	CHIP	C57BL/6 stomach embryo (15.5 days)	H3K27me3
682	CHIP	C57BL/6 stomach embryo (16.5 days)	H3K4me2
683	CHIP	C57BL/6 midbrain embryo (11.5 days)	H3K4me3
684	CHIP	C57BL/6 embryonic facial prominence embryo (10.5 days)	H3K27me3
685	CHIP	C57BL/6 limb embryo (11.5 days)	H3K9ac
686	CHIP	C57BL/6 midbrain embryo (13.5 days)	H3K9ac
687	CHIP	C57BL/6 stomach postnatal (0 days)	H3K4me2
688	CHIP	C57BL/6 kidney postnatal (0 days)	H3K9ac
689	CHIP	C57BL/6 neural tube embryo (13.5 days)	H3K27ac
690	CHIP	C57BL/6 stomach embryo (14.5 days)	H3K9ac
691	CHIP	B10.H-2aH-4bp/Wts CH12.LX	ELF1
692	CHIP	C57BL/6 lung embryo (16.5 days)	H3K4me3
693	CHIP	C57BL/6 liver embryo (12.5 days)	H3K36me3
694	CHIP	C57BL/6 forebrain embryo (12.5 days)	H3K27me3
695	CHIP	C57BL/6 hindbrain embryo (15.5 days)	H3K9me3
696	CHIP	C57BL/6 hindbrain embryo (11.5 days)	H3K9me3
697	CHIP	C57BL/6 hindbrain embryo (12.5 days)	H3K27me3
698	CHIP	C57BL/6 lung embryo (15.5 days)	H3K4me3
699	CHIP	C57BL/6 liver postnatal (0 days)	H3K4me1
700	CHIP	C57BL/6 hindbrain postnatal (0 days)	H3K27me3
701	CHIP	C57BL/6 lung embryo (14.5 days)	H3K9me3
702	CHIP	C57BL/6 midbrain embryo (11.5 days)	H3K9me3
703	CHIP	C57BL/6 intestine embryo (15.5 days)	H3K9me3
704	CHIP	C57BL/6 forebrain embryo (13.5 days)	H3K27ac
705	CHIP	C57BL/6 midbrain embryo (12.5 days)	H3K9ac
706	CHIP	C57BL/6 midbrain embryo (16.5 days)	H3K4me2
707	CHIP	C57BL/6 hindbrain embryo (13.5 days)	H3K4me3
708	CHIP	C57BL/6 embryonic facial prominence embryo (12.5 days)	H3K9me3
709	CHIP	C57BL/6 stomach embryo (14.5 days)	H3K27ac
710	CHIP	C57BL/6 limb embryo (10.5 days)	H3K4me3
711	CHIP	C57BL/6 embryonic facial prominence embryo (11.5 days)	H3K4me3
712	CHIP	C57BL/6 forebrain embryo (14.5 days)	H3K27ac
713	CHIP	C57BL/6 kidney embryo (15.5 days)	H3K4me3
714	CHIP	C57BL/6 midbrain postnatal (0 days)	H3K4me2
715	CHIP	C57BL/6 hindbrain embryo (11.5 days)	H3K4me2
716	CHIP	C57BL/6 hindbrain embryo (13.5 days)	H3K9me3
717	CHIP	C57BL/6 heart embryo (10.5 days)	H3K36me3
718	CHIP	C57BL/6 hindbrain postnatal (0 days)	H3K27ac
719	CHIP	C57BL/6 limb embryo (15.5 days)	H3K9ac
720	CHIP	C57BL/6 limb embryo (14.5 days)	H3K9me3
721	CHIP	C57BL/6 intestine postnatal (0 days)	H3K4me2
722	CHIP	C57BL/6 hindbrain embryo (15.5 days)	H3K4me3
723	CHIP	C57BL/6 stomach embryo (14.5 days)	H3K4me1
724	CHIP	C57BL/6 liver embryo (14.5 days)	H3K27me3
725	CHIP	C57BL/6 heart embryo (15.5 days)	H3K4me1
726	CHIP	C57BL/6 midbrain postnatal (0 days)	H3K27me3
727	CHIP	C57BL/6 lung postnatal (0 days)	H3K4me2
728	CHIP	C57BL/6 liver postnatal (0 days)	H3K9me3
729	CHIP	C57BL/6 liver embryo (14.5 days)	H3K4me2
730	CHIP	C57BL/6 hindbrain embryo (13.5 days)	H3K27ac
731	CHIP	C57BL/6 forebrain embryo (12.5 days)	H3K36me3
732	CHIP	C57BL/6 neural tube embryo (13.5 days)	H3K9me3
733	CHIP	C57BL/6 heart embryo (14.5 days)	H3K9ac
734	CHIP	C57BL/6 stomach postnatal (0 days)	H3K27ac
735	CHIP	C57BL/6 midbrain embryo (15.5 days)	H3K9ac
736	CHIP	DBA/2 MEL cell line	TCF12
737	CHIP	C57BL/6 hindbrain embryo (13.5 days)	H3K4me1
738	CHIP	C57BL/6 forebrain embryo (16.5 days)	H3K36me3
739	CHIP	C57BL/6 forebrain embryo (16.5 days)	H3K9me3
740	CHIP	C57BL/6 lung postnatal (0 days)	H3K9ac
741	CHIP	C57BL/6 kidney embryo (16.5 days)	H3K27ac
742	CHIP	C57BL/6 heart embryo (14.5 days)	H3K27me3
743	CHIP	C57BL/6 intestine embryo (16.5 days)	H3K9me3
744	CHIP	C57BL/6 heart embryo (14.5 days)	H3K27ac
745	CHIP	C57BL/6 kidney postnatal (0 days)	H3K36me3
746	CHIP	129 E14TG2a.4	CTCF
747	CHIP	C57BL/6 hindbrain postnatal (0 days)	H3K9me3
748	CHIP	C57BL/6 forebrain embryo (10.5 days)	H3K4me3
749	CHIP	C57BL/6 forebrain postnatal (0 days)	H3K9ac
750	CHIP	C57BL/6 neural tube embryo (12.5 days)	H3K4me2
751	CHIP	C57BL/6 heart embryo (16.5 days)	H3K9ac
752	CHIP	C57BL/6 heart postnatal (0 days)	H3K4me2
753	CHIP	C57BL/6 forebrain embryo (13.5 days)	H3K9ac
754	CHIP	C57BL/6 hindbrain embryo (11.5 days)	H3K27me3
755	CHIP	C57BL/6 neural tube embryo (12.5 days)	H3K27me3
756	CHIP	C57BL/6 heart embryo (15.5 days)	H3K4me2
757	CHIP	C57BL/6 heart embryo (13.5 days)	H3K27me3
758	CHIP	C57BL/6 embryonic facial prominence embryo (15.5 days)	H3K27ac
759	CHIP	C57BL/6 lung embryo (16.5 days)	H3K4me1
760	CHIP	C57BL/6 intestine postnatal (0 days)	H3K27me3
761	CHIP	C57BL/6 midbrain postnatal (0 days)	H3K4me1
762	CHIP	129 E14TG2a.4	POU5F1
763	CHIP	C57BL/6 liver embryo (14.5 days)	CTCF
764	CHIP	C57BL/6 lung embryo (15.5 days)	H3K4me2
765	CHIP	C57BL/6 kidney embryo (14.5 days)	H3K27me3
766	CHIP	C57BL/6 forebrain embryo (11.5 days)	H3K9ac
767	CHIP	C57BL/6 embryonic facial prominence embryo (11.5 days)	H3K27ac
768	CHIP	C57BL/6 forebrain embryo (15.5 days)	H3K4me2
769	CHIP	C57BL/6 kidney embryo (14.5 days)	H3K9me3
770	CHIP	C57BL/6 heart embryo (12.5 days)	H3K4me2
771	CHIP	C57BL/6 embryonic facial prominence embryo (11.5 days)	H3K4me2
772	CHIP	C57BL/6 intestine embryo (15.5 days)	H3K4me3
773	CHIP	C57BL/6 intestine embryo (15.5 days)	H3K9ac
774	CHIP	C57BL/6 stomach embryo (15.5 days)	H3K4me2
775	CHIP	C57BL/6 limb embryo (13.5 days)	H3K4me3
776	CHIP	C57BL/6 hindbrain embryo (14.5 days)	H3K4me1
777	CHIP	C57BL/6 lung postnatal (0 days)	CTCF
778	CHIP	C57BL/6 liver embryo (11.5 days)	H3K4me1
779	CHIP	C57BL/6 embryonic facial prominence embryo (13.5 days)	H3K27ac
780	CHIP	C57BL/6 intestine embryo (14.5 days)	H3K27ac
781	CHIP	C57BL/6 kidney embryo (14.5 days)	H3K36me3
782	CHIP	C57BL/6 limb embryo (13.5 days)	H3K4me1
783	CHIP	C57BL/6 neural tube embryo (11.5 days)	H3K4me3
784	CHIP	C57BL/6 midbrain postnatal (0 days)	H3K4me3
785	CHIP	C57BL/6 hindbrain embryo (16.5 days)	H3K9me3
786	CHIP	C57BL/6 midbrain embryo (15.5 days)	H3K27ac
787	CHIP	C57BL/6 forebrain embryo (16.5 days)	H3K27ac
788	CHIP	C57BL/6 lung embryo (16.5 days)	H3K9ac
789	CHIP	C57BL/6 liver embryo (14.5 days)	H3K4me3
790	CHIP	C57BL/6 kidney embryo (15.5 days)	H3K4me1
791	CHIP	C57BL/6 heart embryo (15.5 days)	H3K27me3
792	CHIP	C57BL/6 forebrain embryo (15.5 days)	H3K36me3
793	CHIP	C57BL/6 heart embryo (12.5 days)	H3K4me1
794	CHIP	C57BL/6 neural tube embryo (11.5 days)	H3K36me3
795	CHIP	C57BL/6 embryonic facial prominence embryo (13.5 days)	H3K36me3
796	CHIP	C57BL/6 liver embryo (11.5 days)	H3K4me3
797	CHIP	C57BL/6 neural tube embryo (11.5 days)	H3K4me1
798	CHIP	C57BL/6 midbrain embryo (15.5 days)	H3K4me1
799	CHIP	C57BL/6 midbrain embryo (11.5 days)	H3K4me1
800	CHIP	C57BL/6 stomach postnatal (0 days)	EP300
801	CHIP	C57BL/6 lung embryo (14.5 days)	H3K27ac
802	CHIP	C57BL/6 heart embryo (10.5 days)	H3K9me3
803	CHIP	C57BL/6 kidney embryo (15.5 days)	H3K36me3
804	CHIP	C57BL/6 embryonic facial prominence embryo (14.5 days)	H3K27me3
805	CHIP	C57BL/6 liver embryo (16.5 days)	H3K4me2
806	CHIP	C57BL/6 hindbrain postnatal (0 days)	H3K36me3
807	CHIP	C57BL/6 limb embryo (13.5 days)	H3K9ac
808	CHIP	C57BL/6 forebrain embryo (16.5 days)	H3K4me2
809	CHIP	C57BL/6 heart embryo (11.5 days)	H3K9me3
810	CHIP	C57BL/6 intestine embryo (14.5 days)	H3K4me3
811	CHIP	C57BL/6 forebrain postnatal (0 days)	H3K4me1
812	CHIP	C57BL/6 midbrain embryo (16.5 days)	H3K27me3
813	CHIP	C57BL/6 neural tube embryo (11.5 days)	H3K9me3
814	CHIP	C57BL/6 heart embryo (16.5 days)	H3K36me3
815	CHIP	C57BL/6 liver embryo (12.5 days)	H3K4me3
816	CHIP	C57BL/6 hindbrain postnatal (0 days)	H3K4me3
817	CHIP	C57BL/6 liver embryo (15.5 days)	H3K27ac
818	CHIP	C57BL/6 embryonic facial prominence embryo (14.5 days)	H3K27ac
819	CHIP	C57BL/6 stomach embryo (15.5 days)	H3K9ac
820	CHIP	C57BL/6 intestine postnatal (0 days)	H3K36me3
821	CHIP	C57BL/6 intestine embryo (14.5 days)	H3K4me2
822	CHIP	C57BL/6 midbrain embryo (15.5 days)	H3K4me3
823	CHIP	C57BL/6 liver embryo (16.5 days)	H3K4me1
824	CHIP	C57BL/6 midbrain embryo (15.5 days)	H3K36me3
825	CHIP	C57BL/6 limb embryo (12.5 days)	H3K4me2
826	CHIP	C57BL/6 heart postnatal (0 days)	H3K4me1
827	CHIP	C57BL/6 neural tube embryo (11.5 days)	H3K4me2
828	CHIP	C57BL/6 heart postnatal (0 days)	CTCF
829	CHIP	C57BL/6 forebrain embryo (13.5 days)	H3K4me1
830	CHIP	C57BL/6 kidney postnatal (0 days)	H3K9me3
831	CHIP	C57BL/6 kidney embryo (15.5 days)	H3K9me3
832	CHIP	C57BL/6 heart embryo (13.5 days)	H3K4me3
833	CHIP	C57BL/6 midbrain embryo (11.5 days)	H3K9ac
834	CHIP	C57BL/6 hindbrain embryo (12.5 days)	H3K36me3
835	CHIP	C57BL/6 liver embryo (15.5 days)	H3K36me3
836	CHIP	C57BL/6 neural tube embryo (14.5 days)	H3K9ac
837	CHIP	C57BL/6 embryonic facial prominence embryo (11.5 days)	H3K4me1
838	CHIP	C57BL/6 intestine embryo (16.5 days)	H3K27me3
839	CHIP	C57BL/6 stomach postnatal (0 days)	H3K36me3
840	CHIP	C57BL/6 kidney postnatal (0 days)	H3K4me2
841	CHIP	C57BL/6 neural tube embryo (15.5 days)	H3K4me2
842	CHIP	C57BL/6 heart postnatal (0 days)	H3K9ac
843	CHIP	C57BL/6 stomach embryo (15.5 days)	H3K4me3
844	CHIP	C57BL/6 lung postnatal (0 days)	H3K4me1
845	CHIP	C57BL/6 midbrain embryo (15.5 days)	H3K4me2
846	CHIP	C57BL/6 embryonic facial prominence embryo (11.5 days)	H3K9me3
847	CHIP	C57BL/6 lung postnatal (0 days)	EP300
