	Assay	Cell Type	Molecule
102	ATAC	C57BL/6 kidney embryo (15.5 days)	
103	ATAC	C57BL/6 megakaryocyte-erythroid progenitor cell male adult (5-6 weeks)	
104	ATAC	C57BL/6 intestine postnatal (0 days)	
105	ATAC	C57BL/6 hindbrain embryo (12.5 days)	
106	ATAC	C57BL/6 midbrain embryo (16.5 days)	
107	ATAC	C57BL/6 lung postnatal (0 days)	
108	ATAC	C57BL/6 erythroid progenitor cell male adult (5-6 weeks)	
109	ATAC	C57BL/6 hindbrain embryo (13.5 days)	
110	ATAC	C57BL/6 megakaryocyte progenitor cell male adult (5-6 weeks)	
111	ATAC	C57BL/6 granulocyte monocyte progenitor cell male adult (5-6 weeks)	
112	ATAC	C57BL/6 forebrain embryo (11.5 days)	
113	ATAC	C57BL/6 G1E	
114	ATAC	C57BL/6 liver embryo (12.5 days)	
115	ATAC	C57BL/6 forebrain postnatal (0 days)	
116	ATAC	C57BL/6 hindbrain postnatal (0 days)	
117	ATAC	C57BL/6 neutrophil adult (5-6 weeks)	
118	ATAC	C57BL/6 hematopoietic stem cell adult (5-6 weeks)	
119	ATAC	C57BL/6 midbrain embryo (11.5 days)	
120	ATAC	C57BL/6 G1E-ER4 treated with 10 nM 17B-estradiol for 24 hours	
121	ATAC	C57BL/6 hematopoietic stem cell	
122	ATAC	C57BL/6 midbrain embryo (15.5 days)	
123	ATAC	C57BL/6 megakaryocyte male adult (5-6 weeks)	
124	ATAC	C57BL/6 cerebellum adult	
125	ATAC	C57BL/6 forebrain embryo (12.5 days)	
126	ATAC	C57BL/6 stomach postnatal (0 days)	
127	ATAC	C57BL/6 liver postnatal (0 days)	
128	ATAC	C57BL/6 hindbrain embryo (16.5 days)	
129	ATAC	C57BL/6 kidney embryo (16.5 days)	
130	ATAC	C57BL/6 liver embryo (11.5 days)	
131	ATAC	C57BL/6 erythroblast male adult (5-6 weeks)	
132	ATAC	C57BL/6 forebrain embryo (14.5 days)	
133	ATAC	C57BL/6 midbrain embryo (13.5 days)	
134	ATAC	C57BL/6 forebrain embryo (16.5 days)	
135	ATAC	C57BL/6 monocyte adult (5-6 weeks)	
136	ATAC	C57BL/6 frontal cortex adult	
137	ATAC	C57BL/6 forebrain embryo (13.5 days)	
138	ATAC	C57BL/6 common myeloid progenitor male adult (5-6 weeks)	
139	ATAC	C57BL/6 intestine embryo (15.5 days)	
140	ATAC	C57BL/6 intestine embryo (16.5 days)	
141	ATAC	C57BL/6 forebrain embryo (15.5 days)	
142	ATAC	C57BL/6 neural tube embryo (15.5 days)	
143	ATAC	Unknown-clusters_1-cluster_1	
144	ATAC	Unknown-clusters_1-cluster_2	
145	ATAC	Unknown-clusters_1-cluster_3	
146	ATAC	Hematopoietic_progenitors-clusters_10-cluster_1	
147	ATAC	Proximal_tubule-clusters_11-cluster_1	
148	ATAC	Proximal_tubule-clusters_11-cluster_2	
149	ATAC	Proximal_tubule-clusters_11-cluster_3	
150	ATAC	Proximal_tubule_S3-clusters_11-cluster_4	
151	ATAC	Proximal_tubule-clusters_11-cluster_5	
152	ATAC	T_cells-clusters_12-cluster_1	
153	ATAC	Regulatory_T_cells-clusters_12-cluster_2	
154	ATAC	NK_cells-clusters_12-cluster_3	
155	ATAC	T_cells-clusters_12-cluster_4	
156	ATAC	T_cells-clusters_12-cluster_5	
